,car_brand,car_model,car_year,car_mileage,car_price,source
115,NISSAN,KICKS,2018,58435,588000,SUM
116,MITSUBISHI,DELICA貨車,2015,23000,338000,SUM
119,HYUNDAI,IX35,2016,53759,498000,SUM
120,TOYOTA,SIENTA,2018,28587,439000,SUM
121,MITSUBISHI,ZINGER,2020,50327,499000,SUM
122,BMW,X1 F48 ,2016,75000,998000,SUM
123,FORD,ECOSPORT ,2017,38875,438000,SUM
124,NISSAN,TEANA ,2009,172622,179000,SUM
125,NISSAN,KICKS,2018,62756,578000,SUM
126,NISSAN,SUPER SENTRA ,2015,111591,368000,SUM
127,MITSUBISHI,GRAND LANCER,2017,90199,378000,SUM
128,TOYOTA,ALTIS ,2011,92274,289000,SUM
129,NISSAN,LIVINA,2018,58142,388000,SUM
130,BENZ,E-CLASS W212 ,2013,86916,929000,SUM
131,HONDA,FIT ,2018,70018,498000,SUM
132,TOYOTA,WISH ,2014,158901,429000,SUM
133,VW,GOLF VII,2020,30000,998000,SUM
134,BMW,X1 F48 ,2016,70360,1059000,SUM
135,TOYOTA,ALTIS ,2011,126000,298000,SUM
136,BMW,3 SERIES SEDAN F30 ,2015,101995,878000,SUM
137,TOYOTA,C-HR,2018,31566,768000,SUM
138,HYUNDAI,ELANTRA EX ,2016,62778,379000,SUM
139,MITSUBISHI,COLT PLUS ,2011,157542,178000,SUM
140,BENZ,A-CLASS W177,2020,693,2988000,SUM
141,TOYOTA,CAMRY ,2010,138257,328000,SUM
142,HONDA,CR-V ,2020,18938,898000,SUM
143,HYUNDAI,GRAND STAREX ,2018,78813,888000,SUM
145,TOYOTA,YARIS ,2018,45000,498000,SUM
146,HYUNDAI,VERNA,2016,132325,259000,SUM
147,NISSAN,TIIDA 5D ,2009,91537,258000,SUM
148,LUXGEN,M7 TURBO ECO HYPER ,2018,36718,609000,SUM
149,VW,GOLF VII,2020,19260,788000,SUM
150,LUXGEN,U7 TURBO ,2015,35556,439000,SUM
152,VW,GOLF VII,2017,66675,638000,SUM
153,HONDA,CIVIC ,2016,151241,419000,SUM
154,TOYOTA,C-HR,2020,12026,848000,SUM
155,TOYOTA,PREVIA ,2017,101082,1120000,SUM
156,FORD,ESCAPE ,2010,58600,209000,SUM
157,FORD,RANGER,2017,122675,908000,SUM
159,NISSAN,KICKS,2018,57189,578000,SUM
160,BMW,1 SERIES F20,2018,28000,998000,SUM
161,LUXGEN,M7 TURBO ,2014,116419,428000,SUM
162,HYUNDAI,SUPER ELANTRA ,2018,97023,419000,SUM
163,BENZ,C-CLASS W205 COUPE ,2016,70000,1498000,SUM
164,BENZ,C-CLASS SEDAN W205 ,2017,50000,1880000,SUM
165,TOYOTA,CAMRY ,2017,86041,548000,SUM
166,MINI,COUNTRYMAN ,2016,65551,998000,SUM
167,MAZDA,CX-3,2019,39260,699000,SUM
168,BENZ,E-CLASS W213 ,2018,17549,2199000,SUM
169,FORD,FOCUS 5D,2014,80769,359000,SUM
170,BENZ,GLE-CLASS COUPE ,2018,22881,2758000,SUM
171,MITSUBISHI,ZINGER,2017,63946,358000,SUM
172,TOYOTA,VIOS ,2016,108009,348000,SUM
173,HYUNDAI,VERNA,2016,87691,299000,SUM
174,MITSUBISHI,COLT PLUS ,2014,92634,239000,SUM
175,HYUNDAI,SUPER ELANTRA ,2017,58934,429000,SUM
176,MAZDA,MAZDA 3 ,2011,96403,338000,SUM
177,MITSUBISHI,LANCER IO ,2016,96501,418000,SUM
178,NISSAN,LIVINA,2015,51083,359000,SUM
