,car_brand,car_model,car_year,car_mileage,car_price,source
13314,HYUNDAI,MATRIX ,2010,154291,188000,SUM
13315,NISSAN,TIIDA 5D ,2011,135907,278000,SUM
13316,NISSAN,TIIDA 4D,2012,115308,238000,SUM
13317,NISSAN,LIVINA,2015,97089,305000,SUM
13318,MITSUBISHI,SUPER DELICA,2018,79552,385000,SUM
13319,LUXGEN,S5 TURBO ECO HYPER,2017,70000,458000,SUM
13320,MITSUBISHI,VERYCA廂車 ,2015,175445,325000,SUM
13321,BENZ,GLA-CLASS X157,2021,197,2530000,SUM
13322,BMW,X7 G07 ,2019,35000,3880000,SUM
13323,BENZ,GLB-CLASS,2020,188,2580000,SUM
13324,MITSUBISHI,VERYCA 貨車,2017,71399,345000,SUM
13325,LUXGEN,LUXGEN7 MPV 2.2T,2010,126128,268000,SUM
13326,BENZ,C-CLASS SEDAN W205 ,2017,52535,1530000,SUM
13327,MITSUBISHI,ZINGER,2018,92283,378000,SUM
13328,MITSUBISHI,ZINGER,2018,70443,378000,SUM
13329,MITSUBISHI,SUPER DELICA,2016,78537,338000,SUM
13330,MITSUBISHI,ZINGER,2014,111971,265000,SUM
13331,MITSUBISHI,LANCER FORTIS ,2010,189834,248000,SUM
13332,LUXGEN,LUXGEN7 SUV 2.2T,2012,218608,278000,SUM
13333,MITSUBISHI,LEADCA ,2015,25760,598000,SUM
13334,NISSAN,NEW BLUEBIRD SYLPHY,2009,156267,158000,SUM
13335,BENZ,E-CLASS W213 ,2017,80500,1850000,SUM
13336,BENZ,C-CLASS SEDAN W205 ,2018,55100,1580000,SUM
13337,BENZ,C-CLASS SEDAN W205 ,2017,71000,1460000,SUM
13338,MITSUBISHI,VERYCA貨車 ,2010,216415,237000,SUM
13339,BENZ,C-CLASS SEDAN W205 ,2015,99999,1180000,SUM
13340,BMW,3 SERIES SEDAN F30,2016,81100,1080000,SUM
13341,MITSUBISHI,COLT PLUS ,2012,118025,228000,SUM
13342,TOYOTA,ALTIS ,2013,129754,398000,SUM
13343,TOYOTA,SIENNA ,2014,72237,969000,SUM
13344,FORD,ESCAPE ,2013,180015,275000,SUM
13345,LUXGEN,U6 TURBO ECO HYPER ,2016,101538,469000,SUM
13346,BMW,2 SERIES ACTIVE TOURER ,2018,13000,1058000,SUM
13347,FORD,FOCUS ,2011,193112,188000,SUM
13348,FORD,FOCUS ,2011,117894,228000,SUM
13349,TOYOTA,YARIS ,2017,130000,398000,SUM
13350,BENZ,E-CLASS COUPE C207 ,2015,100770,1120000,SUM
13351,MITSUBISHI,LANCER FORTIS ,2010,125379,228000,SUM
13352,NISSAN,SUPER SENTRA ,2014,128000,338000,SUM
13353,TOYOTA,YARIS ,2018,78765,438000,SUM
13354,NISSAN,TEANA ,2011,230462,188000,SUM
13355,MITSUBISHI,DELICA貨車,2015,8525,338000,SUM
13356,MAZDA,MAZDA 3 5D ,2016,87059,598000,SUM
13357,TOYOTA,ALTIS ,2017,65734,470000,SUM
13358,BENZ,C-CLASS SEDAN W205 ,2017,67309,2080000,SUM
13359,BMW,X6 F16 ,2015,96000,1688000,SUM
13360,MITSUBISHI,DELICA貨車,2012,90002,248000,SUM
13361,SUZUKI,SUPER CARRY,2015,107853,338000,SUM
13362,FORD,FIESTA ,2015,87555,348000,SUM
13363,DFSK,SUPER FUWIN,2019,9469,495000,SUM
13364,BMW,5 SERIES SEDAN G30 ,2017,25000,2290000,SUM
13365,DFSK,FUWIN,2017,37000,288000,SUM
13366,MITSUBISHI,DELICA貨車,2014,46714,288000,SUM
