,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolumn,car_driveMode,car_gearType,verified,source
121,MITSUBISHI,ZINGER,2020,50327.0,499000,灰,2,5,2400,2,自排,1.0,SUM
122,BMW,X1 F48 ,2016,75000.0,998000,白,5,5,2000,2,手自排,1.0,SUM
123,FORD,ECOSPORT ,2017,38875.0,438000,白,5,5,1500,2,自手排,1.0,SUM
124,NISSAN,TEANA ,2009,172622.0,179000,黑,4,5,2500,2,手自排,1.0,SUM
125,NISSAN,KICKS,2018,62756.0,578000,銀,5,5,1500,2,自排,1.0,SUM
126,NISSAN,SUPER SENTRA ,2015,111591.0,368000,白,4,5,1800,2,自排,1.0,SUM
127,MITSUBISHI,GRAND LANCER,2017,90199.0,378000,紅,4,5,1800,2,手自排,1.0,SUM
128,TOYOTA,ALTIS ,2011,92274.0,289000,銀,4,5,1800,2,手自排,1.0,SUM
129,NISSAN,LIVINA,2018,58142.0,388000,灰,5,5,1600,2,自排,1.0,SUM
130,BENZ,E-CLASS W212 ,2013,86916.0,929000,銀,4,5,2000,2,手自排,1.0,SUM
131,HONDA,FIT ,2018,70018.0,498000,藍,5,5,1500,2,手自排,1.0,SUM
132,TOYOTA,WISH ,2014,158901.0,429000,黑,5,7,2000,2,手自排,1.0,SUM
133,VW,GOLF VII,2020,30000.0,998000,白,5,5,1400,2,自手排,1.0,SUM
134,BMW,X1 F48 ,2016,70360.0,1059000,白,5,5,2000,2,手自排,1.0,SUM
135,TOYOTA,ALTIS ,2011,126000.0,298000,藍,4,5,1800,2,手自排,1.0,SUM
136,BMW,3 SERIES SEDAN F30 ,2015,101995.0,878000,白,4,5,2000,2,手自排,1.0,SUM
137,TOYOTA,C-HR,2018,31566.0,768000,白,5,5,1200,2,手自排,1.0,SUM
138,HYUNDAI,ELANTRA EX ,2016,62778.0,379000,白,4,5,1800,2,手自排,1.0,SUM
139,MITSUBISHI,COLT PLUS ,2011,157542.0,178000,銀,5,5,1600,2,自排,1.0,SUM
140,BENZ,A-CLASS W177,2020,693.0,2988000,白,5,5,2000,4,自手排,1.0,SUM
141,TOYOTA,CAMRY ,2010,138257.0,328000,黑,4,5,2400,2,手自排,1.0,SUM
142,HONDA,CR-V ,2020,18938.0,898000,白,5,5,1500,2,手自排,1.0,SUM
143,HYUNDAI,GRAND STAREX ,2018,78813.0,888000,銀,5,9,2500,2,手自排,1.0,SUM
145,TOYOTA,YARIS ,2018,45000.0,498000,白,5,5,1500,2,手自排,1.0,SUM
146,HYUNDAI,VERNA,2016,132325.0,259000,灰,4,5,1600,2,手自排,1.0,SUM
147,NISSAN,TIIDA 5D ,2009,91537.0,258000,灰,5,5,1800,2,自排,1.0,SUM
148,LUXGEN,M7 TURBO ECO HYPER ,2018,36718.0,609000,銀,5,7,2200,2,手自排,1.0,SUM
149,VW,GOLF VII,2020,19260.0,788000,白,5,5,1400,2,自手排,1.0,SUM
150,LUXGEN,U7 TURBO ,2015,35556.0,439000,黑,5,5,2200,4,手自排,1.0,SUM
152,VW,GOLF VII,2017,66675.0,638000,白,5,5,1000,2,自手排,1.0,SUM
153,HONDA,CIVIC ,2016,151241.0,419000,灰,4,5,1800,2,手自排,1.0,SUM
154,TOYOTA,C-HR,2020,12026.0,848000,白,5,5,1200,2,手自排,1.0,SUM
155,TOYOTA,PREVIA ,2017,101082.0,1120000,黑,5,7,2400,2,手自排,1.0,SUM
156,FORD,ESCAPE ,2010,58600.0,209000,灰,5,5,2300,2,自排,1.0,SUM
157,FORD,RANGER,2017,122675.0,908000,黃,4,5,3200,4,手自排,1.0,SUM
159,NISSAN,KICKS,2018,57189.0,578000,紅,5,5,1500,2,自排,1.0,SUM
160,BMW,1 SERIES F20,2018,28000.0,998000,藍,5,5,1500,2,手自排,1.0,SUM
161,LUXGEN,M7 TURBO ,2014,116419.0,428000,黑,5,7,2200,2,手自排,1.0,SUM
162,HYUNDAI,SUPER ELANTRA ,2018,97023.0,419000,紅,4,5,1600,2,手自排,1.0,SUM
163,BENZ,C-CLASS W205 COUPE ,2016,70000.0,1498000,黑,2,4,2000,2,手自排,1.0,SUM
164,BENZ,C-CLASS SEDAN W205 ,2017,50000.0,1880000,紅,4,5,3000,4,手自排,1.0,SUM
165,TOYOTA,CAMRY ,2017,86041.0,548000,黑,4,5,2000,2,手自排,1.0,SUM
166,MINI,COUNTRYMAN ,2016,65551.0,998000,黑,5,5,1600,2,手自排,1.0,SUM
167,MAZDA,CX-3,2019,39260.0,699000,灰,5,5,2000,2,手自排,1.0,SUM
168,BENZ,E-CLASS W213 ,2018,17549.0,2199000,黑,4,5,2000,2,手自排,1.0,SUM
169,FORD,FOCUS 5D,2014,80769.0,359000,白,5,5,2000,2,自手排,1.0,SUM
170,BENZ,GLE-CLASS COUPE ,2018,22881.0,2758000,藍,5,5,3000,4,手自排,1.0,SUM
171,MITSUBISHI,ZINGER,2017,63946.0,358000,銀,5,5,2400,2,自排,1.0,SUM
172,TOYOTA,VIOS ,2016,108009.0,348000,白,4,5,1500,2,自排,1.0,SUM
173,HYUNDAI,VERNA,2016,87691.0,299000,白,4,5,1600,2,手自排,1.0,SUM
174,MITSUBISHI,COLT PLUS ,2014,92634.0,239000,藍,5,5,1500,2,手自排,1.0,SUM
175,HYUNDAI,SUPER ELANTRA ,2017,58934.0,429000,黑,4,5,2000,2,手自排,1.0,SUM
176,MAZDA,MAZDA 3 ,2011,96403.0,338000,白,5,5,2000,2,手自排,1.0,SUM
177,MITSUBISHI,LANCER IO ,2016,96501.0,418000,藍,4,5,1800,2,手自排,1.0,SUM
178,NISSAN,LIVINA,2015,51083.0,359000,銀,5,5,1600,2,自排,1.0,SUM
179,FORD,FIESTA ,2017,81065.0,408000,紅,5,5,1000,2,自手排,1.0,SUM
180,HYUNDAI,IX35,2012,209239.0,259000,白,5,5,2000,2,手自排,1.0,SUM
181,LUXGEN,S3,2016,20123.0,299000,白,4,5,1600,2,手自排,1.0,SUM
182,NISSAN,TEANA ,2017,92339.0,428000,黑,4,5,2500,2,手自排,1.0,SUM
183,HYUNDAI,KONA,2020,2254.0,779000,白,5,5,1600,2,自手排,1.0,SUM
184,LUXGEN,LUXGEN7 MPV 2.2T,2010,192711.0,208000,灰,5,7,2200,2,手自排,1.0,SUM
185,MITSUBISHI,LANCER FORTIS ,2012,90053.0,249000,黑,4,5,1800,2,手自排,1.0,SUM
187,TOYOTA,CAMRY ,2010,146000.0,318000,灰,4,5,2400,2,手自排,1.0,SUM
188,TOYOTA,WISH ,2016,110418.0,469000,白,5,7,2000,2,手自排,1.0,SUM
189,LEXUS,IS ,2018,50000.0,1228000,白,4,5,2000,2,手自排,1.0,SUM
190,TOYOTA,YARIS ,2014,80000.0,328000,黑,5,5,1500,2,自排,1.0,SUM
191,TOYOTA,YARIS ,2017,100237.0,418000,灰,5,5,1500,2,手自排,1.0,SUM
192,HYUNDAI,SANTA FE ,2017,86600.0,639000,灰,5,5,2200,2,手自排,1.0,SUM
193,TOYOTA,VIOS ,2018,57007.0,369000,白,4,5,1500,2,手自排,1.0,SUM
194,MITSUBISHI,COLT PLUS ,2016,57035.0,299000,白,5,5,1500,2,手自排,1.0,SUM
196,SUBARU,FORESTER ,2014,38296.0,539000,黑,5,5,2000,4,手自排,1.0,SUM
198,LUXGEN,LUXGEN7 MPV 2.2T,2010,79610.0,239000,黑,5,7,2200,2,手自排,1.0,SUM
199,BMW,2 SERIES GRAN COUPE 2020-,2020,8062.0,1498000,紅,4,5,1500,2,自手排,1.0,SUM
200,MITSUBISHI,ZINGER,2018,78901.0,378000,白,5,5,2400,2,自排,1.0,SUM
201,FORD,FOCUS 5D,2014,110192.0,368000,灰,5,5,2000,2,自手排,1.0,SUM
202,TOYOTA,RAV4 ,2021,13.0,889000,白,5,5,2000,2,手自排,1.0,SUM
203,TOYOTA,YARIS CROSSOVER,2019,34571.0,588000,白,5,5,1500,2,手自排,1.0,SUM
204,BENZ,GLC-CLASS COUPE ,2017,67220.0,1898000,黑,5,5,2000,4,手自排,1.0,SUM
205,BMW,X1 F48 ,2019,31127.0,1298000,黑,5,5,1500,2,手自排,1.0,SUM
206,NISSAN,BIG TIIDA 5D ,2015,36717.0,409000,紅,5,5,1600,2,自排,1.0,SUM
207,FORD,FOCUS 4D,2017,46697.0,398000,白,4,5,1600,2,自手排,1.0,SUM
208,TOYOTA,WISH ,2016,97390.0,528000,灰,5,7,2000,2,手自排,1.0,SUM
209,MITSUBISHI,OUTLANDER ,2009,115812.0,258000,灰,5,5,2400,2,手自排,1.0,SUM
210,TOYOTA,WISH ,2015,112771.0,469000,白,5,7,2000,2,手自排,1.0,SUM
211,MAZDA,MAZDA 3 4D ,2016,36940.0,568000,紅,4,5,2000,2,手自排,1.0,SUM
212,MASERATI,LEVANTE,2020,3900.0,3280000,白,5,5,3000,4,手自排,1.0,SUM
213,LUXGEN,M7 TURBO ECO HYPER ,2017,45516.0,479000,白,5,8,2200,2,手自排,1.0,SUM
214,TOYOTA,ALTIS ,2018,21264.0,529000,黑,4,5,1800,2,手自排,1.0,SUM
215,NISSAN,X-TRAIL ,2016,31861.0,559000,白,5,5,2500,2,手自排,1.0,SUM
216,MITSUBISHI,OUTLANDER ,2016,101462.0,469000,白,5,5,2400,2,自排,1.0,SUM
217,NISSAN,SUPER SENTRA ,2016,96250.0,339000,藍,4,5,1800,2,自排,1.0,SUM
219,NISSAN,TIIDA 5D ,2010,125000.0,238000,灰,5,5,1800,2,自排,1.0,SUM
220,BENZ,B-CLASS W246 ,2013,117738.0,678000,白,5,5,1600,2,手自排,1.0,SUM
221,BENZ,C-CLASS SEDAN W205 ,2016,31731.0,1129000,灰,4,5,2000,2,手自排,1.0,SUM
222,HONDA,CIVIC,2009,175667.0,278000,白,4,5,1800,2,自排,1.0,SUM
223,BENZ,C-CLASS SEDAN W204 ,2013,138371.0,699000,黑,4,5,1800,2,手自排,1.0,SUM
224,NISSAN,SUPER SENTRA ,2018,62503.0,488000,白,4,5,1800,2,自排,1.0,SUM
225,MITSUBISHI,OUTLANDER ,2013,110000.0,358000,銀,5,5,2400,2,手自排,1.0,SUM
226,MAZDA,MAZDA 3 ,2010,96558.0,298000,灰,5,5,2000,2,手自排,1.0,SUM
227,SKODA,FABIA,2015,50924.0,418000,紅,5,5,1200,2,自手排,1.0,SUM
228,TOYOTA,WISH ,2013,155260.0,458000,灰,5,7,2000,2,手自排,1.0,SUM
229,VOLVO,S90,2019,18000.0,1388000,藍,4,5,2000,2,手自排,1.0,SUM
230,HYUNDAI,ELANTRA EX ,2017,70115.0,399000,黑,4,5,1800,2,手自排,1.0,SUM
231,SMART,FORFOUR ,2017,84789.0,508000,黑,5,4,900,2,自手排,1.0,SUM
232,LUXGEN,LUXGEN7 SUV 2.2T,2012,129886.0,248000,白,5,5,2200,2,手自排,1.0,SUM
233,FORD,FOCUS ,2009,121349.0,198000,灰,5,5,1800,2,手自排,1.0,SUM
234,MITSUBISHI,ZINGER,2013,149896.0,269000,黑,5,5,2400,2,自排,1.0,SUM
235,LUXGEN,U5,2018,52646.0,458000,紅,5,5,1600,2,手自排,1.0,SUM
236,TOYOTA,RAV4 ,2018,39252.0,758000,藍,5,5,2000,2,手自排,1.0,SUM
237,MAZDA,MAZDA 3 ,2011,72029.0,298000,灰,4,5,2000,2,手自排,1.0,SUM
238,LUXGEN,S5 TURBO ECO HYPER,2018,20437.0,429000,黑,4,5,1800,2,手自排,1.0,SUM
239,MAZDA,MAZDA 3 5D ,2016,81993.0,648000,紅,5,5,2000,2,手自排,1.0,SUM
240,TOYOTA,ALTIS ,2014,104078.0,428000,藍,4,5,1800,2,手自排,1.0,SUM
241,MAZDA,CX-3,2016,67013.0,589000,白,5,5,2000,2,手自排,1.0,SUM
242,LUXGEN,U5,2017,25947.0,458000,白,5,5,1600,2,手自排,1.0,SUM
243,FORD,FIESTA ,2018,59586.0,429000,紅,5,5,1000,2,自手排,1.0,SUM
244,NISSAN,GRAND LIVINA ,2012,141371.0,328000,銀,5,7,1800,2,自排,1.0,SUM
245,FORD,FIESTA ,2018,55470.0,429000,藍,5,5,1000,2,自手排,1.0,SUM
246,HYUNDAI,IX35,2011,77345.0,328000,白,5,5,2000,2,手自排,1.0,SUM
247,HONDA,CR-V ,2018,77739.0,798000,銀,5,5,1500,2,手自排,1.0,SUM
248,HYUNDAI,SANTA FE ,2019,48016.0,659000,銀,5,5,2400,4,手自排,1.0,SUM
249,HYUNDAI,SANTA FE ,2015,137212.0,638000,棕,5,5,2200,4,手自排,1.0,SUM
250,MAZDA,CX-9,2018,93724.0,1099000,灰,5,7,2500,4,手自排,1.0,SUM
251,HONDA,ODYSSEY ,2016,51108.0,1139000,白,5,7,2400,2,手自排,1.0,SUM
253,TOYOTA,ALTIS ,2013,223756.0,338000,銀,4,5,1800,2,手自排,1.0,SUM
254,TOYOTA,RAV4 ,2017,39844.0,748000,銀,5,5,2000,2,手自排,1.0,SUM
255,TOYOTA,ALTIS ,2014,173007.0,358000,銀,4,5,1800,2,手自排,1.0,SUM
256,TOYOTA,ALTIS ,2018,55318.0,528000,黑,4,5,1800,2,手自排,1.0,SUM
257,HYUNDAI,VERNA,2016,78086.0,308000,藍,4,5,1600,2,手自排,1.0,SUM
258,TOYOTA,YARIS ,2019,25118.0,498000,白,5,5,1500,2,手自排,1.0,SUM
259,MAZDA,MAZDA 3 5D ,2016,97662.0,598000,紅,5,5,2000,2,手自排,1.0,SUM
261,SKODA,FABIA,2018,40729.0,548000,白,5,5,1000,2,自手排,1.0,SUM
263,MITSUBISHI,ZINGER,2018,86217.0,378000,灰,5,5,2400,2,自排,1.0,SUM
264,TOYOTA,RAV4 ,2018,38274.0,759000,白,5,5,2000,2,手自排,1.0,SUM
265,LUXGEN,U6 TURBO ECO HYPER ,2016,102610.0,458000,紅,5,5,1800,2,手自排,1.0,SUM
266,TOYOTA,YARIS ,2016,66503.0,419000,銀,5,5,1500,2,自排,1.0,SUM
267,MITSUBISHI,ZINGER,2013,164187.0,259000,銀,5,5,2400,2,自排,1.0,SUM
268,BMW,X5 F15 ,2017,29278.0,1680000,黑,5,5,3000,4,手自排,1.0,SUM
269,TOYOTA,WISH ,2016,94117.0,508000,銀,5,7,2000,2,手自排,1.0,SUM
270,FORD,KUGA,2020,8957.0,948000,白,5,5,1500,2,自排,1.0,SUM
271,TOYOTA,ALTIS ,2011,161436.0,288000,白,4,5,1800,2,手自排,1.0,SUM
272,TOYOTA,C-HR,2018,37156.0,768000,灰,5,5,1200,2,手自排,1.0,SUM
273,MITSUBISHI,CANTER ,2018,109380.0,928000,藍,2,3,3000,2,手排,1.0,SUM
274,HYUNDAI,ELANTRA ,2012,195447.0,328000,黑,4,5,1800,2,手自排,1.0,SUM
275,LUXGEN,U6 TURBO ECO HYPER ,2016,88223.0,498000,白,5,5,1800,2,手自排,1.0,SUM
276,MITSUBISHI,VERYCA 廂車,2018,98009.0,358000,白,5,5,1300,2,手排,1.0,SUM
277,BENZ,C-CLASS SEDAN W205 ,2017,35102.0,1269000,黑,4,5,2000,2,手自排,1.0,SUM
278,FORD,FOCUS ,2011,98790.0,248000,灰,5,5,1800,2,手自排,1.0,SUM
279,TOYOTA,CAMRY ,2017,37694.0,569000,白,4,5,2000,2,手自排,1.0,SUM
280,LUXGEN,M7 TURBO ECO HYPER ,2018,14361.0,629000,黑,5,7,2200,2,手自排,1.0,SUM
281,TOYOTA,VIOS ,2019,12018.0,438000,灰,4,5,1500,2,手自排,1.0,SUM
282,VW,TIGUAN ,2018,68402.0,859000,白,5,5,1400,2,自手排,1.0,SUM
283,NISSAN,iTIIDA ,2020,28627.0,568000,白,5,5,1600,2,自排,1.0,SUM
284,HONDA,FIT ,2019,55902.0,519000,白,5,5,1500,2,手自排,1.0,SUM
285,HONDA,CIVIC ,2016,143965.0,429000,灰,4,5,1800,2,手自排,1.0,SUM
286,MITSUBISHI,LANCER IO ,2013,110000.0,338000,藍,4,5,1800,2,手自排,1.0,SUM
287,TOYOTA,RAV4 ,2016,45553.0,738000,灰,5,5,2000,2,手自排,1.0,SUM
288,HONDA,CR-V ,2018,55866.0,888000,綠,5,5,1500,2,手自排,1.0,SUM
