,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_gear,verified,source
140,MAZDA,MAZDA 3,2019.0,17115.0,388000.0,紅,1998.0,手自排,1.0,ISAVE
141,MITSUBISHI,COLT PLUS,2019.0,63105.0,1750000.0,藍,1499.0,手自排,1.0,ISAVE
142,BMW,X3,2019.0,50000.0,958000.0,黑,1998.0,手自排,1.0,ISAVE
143,VOLVO,V40,2019.0,17500.0,718000.0,藍,1498.0,手自排,1.0,ISAVE
144,HYUNDAI,TUCSON,2019.0,38516.0,498000.0,白,1591.0,手自排,1.0,ISAVE
145,MITSUBISHI,VERYCA,2019.0,44898.0,959000.0,白,1488.0,手排,1.0,ISAVE
146,TOYOTA,RAV4,2019.0,51701.0,758000.0,銀,2487.0,手自排,1.0,ISAVE
147,KIA,CARENS,2019.0,22439.0,498000.0,白,1685.0,手自排,1.0,ISAVE
148,NISSAN,LIVINA,2019.0,24000.0,488000.0,白,1598.0,自排,1.0,ISAVE
149,MITSUBISHI,VERYCA,2019.0,33911.0,838000.0,藍,1488.0,自排,1.0,ISAVE
151,MAZDA,CX-30,2019.0,25856.0,1380000.0,藍,1998.0,自排,1.0,ISAVE
152,BMW,I3,2019.0,30000.0,588000.0,黑,184.0,手自排,1.0,ISAVE
153,SKODA,FABIA,2019.0,13872.0,1358000.0,紅,999.0,手自排,1.0,ISAVE
154,BMW,120I,2019.0,9395.0,628000.0,藍,1998.0,手自排,1.0,ISAVE
157,DFSK,FUWIN,2019.0,145.0,598000.0,藍,1199.0,手排,1.0,ISAVE
158,TOYOTA,ALTIS,2019.0,19025.0,1828000.0,黑,1798.0,手自排,1.0,ISAVE
159,BMW,330,2019.0,11000.0,598000.0,白,1998.0,手自排,1.0,ISAVE
161,TOYOTA,SIENTA,2019.0,22038.0,448000.0,白,1798.0,自排,1.0,ISAVE
162,TOYOTA,RAV4,2019.0,8616.0,748000.0,白,1987.0,手自排,1.0,ISAVE
163,MITSUBISHI,COLT PLUS,2019.0,9673.0,648000.0,白,1499.0,手自排,1.0,ISAVE
165,TOYOTA,ALTIS,2019.0,29346.0,988000.0,白,1798.0,手自排,1.0,ISAVE
166,NISSAN,X-TRAIL,2019.0,17000.0,788000.0,灰,1997.0,手自排,1.0,ISAVE
167,TOYOTA,CAMRY,2019.0,36994.0,648000.0,黑,2487.0,自排,1.0,ISAVE
235,BMW,520I,2019.0,3528.0,645000.0,黑,1998.0,手自排,0.0,ISAVE
236,FORD,FOCUS,2019.0,21000.0,765000.0,白,1500.0,自排,0.0,ISAVE
237,MAZDA,CX-3,2019.0,2.0,1120000.0,灰,1998.0,手自排,0.0,ISAVE
241,HYUNDAI,PORTER,2019.0,25417.0,398000.0,白,2500.0,手排,0.0,ISAVE
242,TOYOTA,SIENTA,2019.0,57839.0,468000.0,白,1798.0,自排,0.0,ISAVE
243,NISSAN,LIVINA,2019.0,1800.0,379000.0,白,1600.0,自排,0.0,ISAVE
