,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolume,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,car_photo,dealer_name,seller_role,dealer_address,sunroof,TPMS,SRS,keyless,theft_alarm,central_lock,ESP,TCS,ABS,cruise_sys,HID_head,LED_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,SW_button,leather_seat,parking_radar,parking_camera,BSM,ACC,LDW
17,1284436.0,BMW,330,2020,12000.0,1750000.0,白,,,1998,,,手自排,1,台中市,[天窗 盲點 5AS 購車贈加油金],https://www.isave.com.tw/public/photo/1284436/800_20210423140008565.JPG,萬通汽車,,台中市西屯區環中路一段2280號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
18,1278918.0,TOYOTA,CAMRY,2020,10000.0,918000.0,黑,,,2494,,,手自排,1,台北市,[2020年7月領牌 跑一萬],https://www.isave.com.tw/public/photo/1278918/800_20210414143051297.jpg,任昱汽車商行,,台北市北投區承德路7段153號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
19,1272211.0,BENZ,A250,2020,23706.0,1770000.0,白,,,1991,,,手自排,1,新北市,[A250 AMG 4MATIC],https://www.isave.com.tw/public/photo/1272211/800_20210401122830365.jpg,宏昇汽車,,新北市樹林區中正路743號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
20,1277925.0,MITSUBISHI,LANCER,2020,8562.0,558000.0,黑,,,1798,,,手自排,1,台北市,[2020年3月領牌 跑八千  ],https://www.isave.com.tw/public/photo/1277925/800_20210412162429749.jpg,任昱汽車商行,,台北市北投區承德路7段153號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
21,1263369.0,BMW,X1,2020,2024.0,1758000.0,白,,,1998,,,手自排,1,高雄市,[和悅汽車 X1 20i],https://www.isave.com.tw/public/photo/1263369/800_20210317151611160.jpg,和悅汽車,,高雄市左營區文自路684號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
22,1258410.0,TOYOTA,AURIS,2020,17.0,778000.0,藍,,,1987,,,手自排,1,新北市,[全速域跟車 全新未領牌 新車89.8萬!],https://www.isave.com.tw/public/photo/1258410/800_20210309135235456.JPG,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
23,1271124.0,NISSAN,X-TRAIL,2020,15155.0,828000.0,紅,,,1997,,,手自排,1,台北市,[2020年3月領牌 跑一萬五],https://www.isave.com.tw/public/photo/1271124/800_20210330145054069.jpg,任昱汽車商行,,台北市北投區承德路7段153號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
24,1254298.0,NISSAN,KICKS,2020,9832.0,668000.0,灰,,,1498,,,自排,1,高雄市,[豪華版/IKEY/6安/360度環景],https://www.isave.com.tw/public/photo/1254298/800_20210302173020863.JPG,富展汽車商行,,高雄市仁武區鳳仁路15-8號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
25,1246886.0,TOYOTA,CAMRY HYBRID,2020,23021.0,958000.0,黑,,,2487,,,手自排,1,台北市,[2020年3月領牌 跑兩萬三],https://www.isave.com.tw/public/photo/1246886/800_20210217135550731.jpg,任昱汽車商行,,台北市北投區承德路7段153號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
26,1238261.0,TOYOTA,VIOS,2020,3538.0,488000.0,黑,,,1496,,,手自排,1,台北市,[2020年4月領牌 僅跑三千],https://www.isave.com.tw/public/photo/1238261/800_20210125145347259.jpg,任昱汽車商行,,台北市北投區承德路7段153號,,,1.0,,,,,,1.0,,,,,0.0,0.0,,,,,,,,,
27,1228157.0,MITSUBISHI,OUTLANDER,2020,767.0,948000.0,白,,,2359,,,手自排,1,台北市,[2020年5月領牌 僅跑七百],https://www.isave.com.tw/public/photo/1228157/800_20210107150006898.jpg,任昱汽車商行,,台北市北投區承德路7段153號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
28,1214536.0,LUXGEN,URX,2020,2.0,799000.0,白,,,1798,,,手自排,1,基隆市,[明立嚴選〝全新領牌車〞21年式AR環景版],https://www.isave.com.tw/public/photo/1214536/800_20201214154726496.jpg,明立汽車,,基隆市七堵區明德一路6號1樓,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
29,1205706.0,TOYOTA,C-HR,2020,7.0,928000.0,銀,,,1197,,,手自排,1,新北市,[全新領牌車 頂級4WD 新車106.9萬],https://www.isave.com.tw/public/photo/1205706/800_20201127141440815.jpg,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
30,1205674.0,TOYOTA,C-HR,2020,4.0,848000.0,白,,,1197,,,手自排,1,新北市,[全新領牌車 新車價96.9萬 現折12萬],https://www.isave.com.tw/public/photo/1205674/800_20201127141132445.JPG,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
31,1192518.0,MITSUBISHI,ZINGER,2020,32.0,639000.0,灰,,,2378,,,自排,1,台中市,[2020年 ZINGER PICKUP ],https://www.isave.com.tw/public/photo/1192518/800_20201104185712665.jpg,熊本車庫,,台中市大肚區沙田路三段656號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
32,1183455.0,TOYOTA,PRIUS,2020,7.0,1008000.0,銀,,,1798,,,自排,1,新北市,[全新領牌車 新車114.9萬 現折14萬],https://www.isave.com.tw/public/photo/1183455/800_20201017135702033.JPG,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
33,1175526.0,TOYOTA,ALTIS,2020,5.0,758000.0,銀,,,1798,,,自排,1,新北市,[拚全國最低價 新車82.5萬],https://www.isave.com.tw/public/photo/1175526/800_20201001143540866.JPG,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
34,1169423.0,TOYOTA,SIENTA,2020,9.0,668000.0,銀,,,1798,,,自排,1,新北市,[全新領牌車 新車77.9萬 現折11萬!],https://www.isave.com.tw/public/photo/1169423/800_20200919163157880.JPG,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
