,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
9897,Ford,Fiesta,2012,100000,178000,8891
9898,Ford,Fiesta,2014,91000,268000,8891
9899,Lexus,NX,2018,31000,1258000,8891
9900,Toyota,Camry,2017,40000,460000,8891
9901,Mercedes-Benz,C-Class Sedan,2008,120000,358000,8891
9902,Suzuki,Swift,2005,197000,128000,8891
9903,Audi,A5 Sportback,2011,90000,568000,8891
9904,Audi,A3 Sportback,2007,140000,328000,8891
9905,Mercedes-Benz,B-Class,2014,90000,728000,8891
9906,BMW,X1,2016,50000,900000,8891
9907,Mazda,3,2011,100000,268000,8891
9908,Toyota,Camry,2017,77000,599000,8891
9909,Subaru,Levorg,2016,101000,868000,8891
9910,Lexus,LX,2011,88000,1180000,8891
9911,Mazda,3,2017,30000,449000,8891
9912,Toyota,Innova,2012,160000,228000,8891
9913,BMW,5-Series Touring,2013,145000,888000,8891
9914,Mitsubishi,Lancer Fortis,2016,10000,315000,8891
9915,Mazda,2,2008,110000,158000,8891
9916,Mercedes-Benz,E-Class Sedan,2011,127000,598000,8891
9917,Mercedes-Benz,CLA,2014,80000,788000,8891
9918,Audi,A1,2020,3400,1088000,8891
9919,BMW,1-Series Hatchback,2015,50000,788000,8891
9920,Lexus,IS,2006,120000,388000,8891
9921,Smart,Forfour,2016,60000,558000,8891
9922,Audi,A4 Sedan,2008,300000,268000,8891
9923,Porsche,Macan,2020,200,0,8891
9924,Mercedes-Benz,E-Class Estate,2003,188000,288000,8891
9925,Mercedes-Benz,GLC,2016,50000,1490000,8891
9926,Volkswagen,Golf,2012,80000,328000,8891
9927,Nissan,Sentra,2016,90000,355000,8891
9928,Lexus,NX,2015,61000,948000,8891
9929,BMW,5-Series Sedan,2017,33000,1503000,8891
9930,Ford,Focus,2019,28000,698000,8891
9931,Mazda,3,2019,32000,678000,8891
9932,Toyota,Yaris,2014,70000,221000,8891
9933,Honda,Fit,2015,50000,298000,8891
9934,Hyundai,Elantra,2013,80000,235000,8891
9935,Mazda,3,2019,10000,408000,8891
9936,Honda,Civic,2013,70000,318000,8891
9937,Suzuki,Swift,2013,50000,260000,8891
9938,Ford,Focus,2018,20000,368000,8891
9939,Mitsubishi,Lancer Fortis,2013,80000,195000,8891
9940,Ford,Focus,2019,10000,398000,8891
9941,Suzuki,Swift,2018,30000,428000,8891
9942,Hyundai,Elantra,2013,130000,128000,8891
9943,Toyota,Corolla Altis,2018,93000,410000,8891
9944,Toyota,Corolla Altis,2014,120000,358000,8891
9945,Toyota,Corolla Altis,2012,48000,268000,8891
9946,Audi,A1 Sportback,2015,100000,528000,8891
9947,BMW,4-Series Gran Coupé,2014,60000,1368000,8891
9948,Lexus,IS,2014,56000,888000,8891
9949,Ford,Focus,2015,88000,368000,8891
9950,Mercedes-Benz,GLC,2017,50000,1698000,8891
9951,Hyundai,Starex,2014,157000,518000,8891
9952,Toyota,Corolla Altis,2014,90000,300000,8891
9953,Hyundai,Ix35,2012,80000,268000,8891
9954,Mitsubishi,Savrin,2007,120000,138000,8891
9955,Mercedes-Benz,C-Class Coupe,2017,25000,1650000,8891
9956,Ford,Focus,2018,16000,388000,8891
9957,Toyota,C-HR,2019,19000,598000,8891
9958,Toyota,Vios,2011,99000,0,8891
9959,Porsche,Macan,2019,21000,0,8891
9960,Honda,CR-V,2013,75000,479000,8891
9961,Mercedes-Benz,SLK,2005,100000,458000,8891
9962,Nissan,Tiida,2013,110000,330000,8891
9963,Mercedes-Benz,B-Class,2015,70000,798000,8891
9964,Honda,Fit,2010,150000,204000,8891
9965,Ford,Focus,2015,120000,308000,8891
9966,Ford,Ranger,2017,39000,978000,8891
9967,Mercedes-Benz,E-Class Sedan,2017,54000,1680000,8891
9968,Volkswagen,Golf,2012,116000,339000,8891
9969,Kia,Morning,2016,38000,288000,8891
9970,Mitsubishi,Eclipse Cross,2019,80000,668000,8891
9971,Toyota,Camry,2018,81000,520000,8891
9972,Toyota,Yaris,2018,39000,508000,8891
9973,BMW,3-Series Sedan,2012,140000,708000,8891
9974,BMW,5-Series Sedan,2011,140000,608000,8891
9975,Mercedes-Benz,CLS,2019,5685,0,8891
9976,BMW,5-Series Sedan,2017,19000,0,8891
9977,Mercedes-Benz,GLC,2017,79000,1750000,8891
9978,Toyota,Yaris,2014,40000,398000,8891
9979,Honda,CR-V,2015,70000,598000,8891
9980,BMW,2-Series Coupe,2018,15000,1798000,8891
9981,Subaru,Legacy Sedan,2017,120000,618000,8891
9982,Mercedes-Benz,S-Class Sedan,2016,41000,2598000,8891
9983,Honda,CR-V,2012,128000,398000,8891
9984,Toyota,Premio,2001,190000,125000,8891
9985,Nissan,Livina,2016,60000,268000,8891
9986,Mercedes-Benz,C-Class Sedan,2016,131000,1198000,8891
9987,Lexus,IS,2014,50000,568000,8891
9988,Toyota,Corolla Altis X,2015,50000,328000,8891
9989,BMW,5-Series Sedan,2017,54000,0,8891
9990,Toyota,Corolla Altis,2004,259000,0,8891
9991,Porsche,Macan,2014,52000,0,8891
9992,Ford,Focus,2017,71000,488000,8891
9993,Nissan,Kicks,2021,108,638000,8891
9994,Toyota,Corolla Altis,2016,88000,358000,8891
9995,Honda,Civic,2008,138000,188000,8891
9996,Toyota,Alphard,2013,180000,0,8891
9997,BMW,5-Series Sedan,2017,47000,1658000,8891
9998,Mitsubishi,Grand Lancer,2017,109000,318000,8891
9999,Lexus,IS,2016,30000,0,8891
10000,Mercedes-Benz,C-Class Coupe,2012,200000,598000,8891
10001,Mazda,3,2019,16000,838000,8891
10002,Toyota,Yaris,2009,150000,208000,8891
10003,Audi,A4 Sedan,2016,53000,1198000,8891
10004,BMW,3-Series Sedan,2014,100000,798000,8891
10005,Lexus,LX,2009,270000,799000,8891
10006,Honda,Civic K12,2009,150000,238000,8891
10007,Mazda,CX-3,2016,51000,538000,8891
10008,Ford,Focus,2014,60000,358000,8891
10009,BMW,5-Series Sedan,2005,160000,258000,8891
10010,BMW,5-Series Sedan,2018,44000,1730000,8891
10011,BMW,3-Series Sedan,2018,20000,1880000,8891
10012,BMW,5-Series GT,2010,150000,628000,8891
10013,Toyota,Corolla Altis X,2015,23000,288000,8891
10014,Volkswagen,Scirocco,2011,70000,368000,8891
10015,Mini,Cooper,2010,99000,320000,8891
10016,Mercedes-Benz,GLC Coupe,2018,37000,0,8891
10017,Volkswagen,Golf GTI,2017,28000,788000,8891
10018,Volkswagen,Golf GTI,2006,120000,188000,8891
10019,Subaru,Impreza,2001,140000,188000,8891
10020,Toyota,Yaris,2014,87000,368000,8891
10021,Mercedes-Benz,GLC,2017,32000,1890000,8891
10022,BMW,5-Series Sedan,2010,190000,628000,8891
10023,Ford,Pronto,2007,140000,100000,8891
10024,BMW,3-Series Sedan,2011,90000,488000,8891
10025,Volkswagen,Scirocco,2009,100000,188000,8891
10026,BMW,5-Series Sedan,1996,200000,88000,8891
10027,Honda,Fit,2010,90000,198000,8891
10028,Audi,A3 5D,2010,90000,188000,8891
10029,Audi,A4 Sedan,2009,100000,168000,8891
10030,Mercedes-Benz,C-Class Coupe,2011,90000,238000,8891
10031,Audi,A5 Coupe,2010,100000,288000,8891
10032,Mercedes-Benz,C-Class Cabriolet,2007,120000,288000,8891
10033,BMW,5-Series Sedan,2018,64000,1780000,8891
10034,Skoda,Fabia,2014,50000,268000,8891
10035,Ford,Focus,2016,30000,468000,8891
10036,Suzuki,Swift,2005,120000,88000,8891
10037,Volkswagen,Golf GTI,2010,90000,398000,8891
10038,BMW,1-Series Hatchback,2019,10000,1090000,8891
10039,Mitsubishi,Lancer Fortis,2013,60000,268000,8891
10040,Audi,S5 Coupe,2008,80000,498000,8891
10041,Mercedes-Benz,GLA,2017,30000,900000,8891
10042,BMW,5-Series Sedan,2006,120000,88000,8891
10043,Nissan,350Z,2006,100000,240000,8891
10044,Toyota,86,2012,54000,550000,8891
10045,Nissan,Sentra,2017,68000,418000,8891
10046,Nissan,Tiida,2015,55000,438000,8891
10047,Mazda,3,2017,20000,398000,8891
10048,Audi,A4 Sedan,2008,90000,140000,8891
10049,Nissan,350Z,2003,30000,150000,8891
10050,Mazda,3,2010,90000,188000,8891
10051,Ford,Focus,2013,60000,260000,8891
10052,BMW,4-Series Coupe,2015,40000,768000,8891
10053,Mitsubishi,Lancer Fortis,2010,50000,130000,8891
10054,Hyundai,Elantra,2013,60000,228000,8891
10055,Mazda,3,2007,120000,88000,8891
10056,Nissan,Kicks,2019,29000,668000,8891
10057,Honda,Civic,2014,60000,248000,8891
10058,CMC,Veryca貨車,2016,41000,358000,8891
10059,Audi,A1,2012,30000,100000,8891
10060,BMW,3-Series Coupe,2007,120000,168000,8891
10061,Luxgen,7 MPV,2011,98000,268000,8891
10062,Toyota,Yaris,2011,78000,258000,8891
10063,Honda,CR-V,2005,174000,168000,8891
10064,Subaru,Outback,2016,76000,628000,8891
10065,Ford,Kuga,2014,63000,338000,8891
10066,Hyundai,Santa Fe,2014,73000,488000,8891
10067,Volkswagen,Passat,2015,68000,478000,8891
10068,Lexus,RX,2011,80000,428000,8891
10069,Mercedes-Benz,GLC,2016,51000,1188000,8891
10070,Volvo,XC60,2010,91000,338000,8891
10071,Mitsubishi,Lancer Fortis,2013,81000,238000,8891
10072,Ford,Kuga,2018,32000,628000,8891
10073,BMW,X5,2017,121000,1498000,8891
10074,BMW,3-Series GT,2015,82000,1138000,8891
10075,BMW,X5,2014,72000,1098000,8891
10076,Audi,A4 Sedan,2014,90000,588000,8891
10077,Honda,CR-V,2017,42000,578000,8891
10078,Toyota,Corolla Altis,2016,51000,358000,8891
10079,Lexus,RX,2015,53000,1168000,8891
10080,Subaru,Legacy Sedan,2017,122000,618000,8891
10081,Luxgen,U7 Turbo,2010,60000,90000,8891
10082,Lexus,ES,2021,2131,1838000,8891
10083,Ford,Focus,2020,6000,628000,8891
10084,Toyota,86,2013,60000,360000,8891
10085,Mazda,3,2017,20000,250000,8891
10086,Mercedes-Benz,C-Class Sedan,2016,67000,1198000,8891
10087,Toyota,Yaris,2009,145000,208000,8891
10088,Nissan,X-Trail,2018,32000,518000,8891
10089,Toyota,Innova,2012,170000,228000,8891
10090,Ford,Focus,2019,10000,650000,8891
10091,Mercedes-Benz,E-Class Sedan,2016,120000,1468000,8891
10092,Lexus,GS,2007,166000,278000,8891
10093,Lexus,GS,2005,196000,268000,8891
10094,Toyota,Corolla Altis,2017,43000,368000,8891
10095,Nissan,Tiida,2013,50000,158000,8891
10096,Mazda,3,2016,40000,250000,8891
10097,Honda,HR-V,2020,26000,628000,8891
10098,Toyota,Yaris,2013,80000,150000,8891
10099,Toyota,Sienta,2017,41000,508000,8891
10100,Mazda,3,2013,60000,150000,8891
10101,Hyundai,Elantra,2014,80000,168000,8891
10102,Volkswagen,Sportsvan,2015,70000,368000,8891
10103,Hyundai,Elantra,2014,60000,170000,8891
10104,Honda,CR-V,2012,70000,258000,8891
10105,Mitsubishi,Zinger,2010,248000,118000,8891
10106,Toyota,Corolla Altis,2017,42000,408000,8891
10107,Toyota,Previa,2015,63000,858000,8891
10108,Honda,City,2015,43000,278000,8891
10109,Honda,Odyssey,2016,45000,938000,8891
10110,Infiniti,M37,2011,168000,398000,8891
10111,Infiniti,G37,2010,176000,338000,8891
10112,Lexus,NX,2015,54000,948000,8891
10113,Infiniti,G25,2012,98000,388000,8891
10114,Toyota,Sienna,2015,82000,998000,8891
10115,Luxgen,S3,2019,33000,408000,8891
10116,Hyundai,Elantra,2017,41000,398000,8891
10117,Luxgen,U6 Turbo ECO Hyper,2017,30000,488000,8891
10118,Nissan,Grand Livina,2009,247000,148000,8891
10119,Mercedes-Benz,C-Class Sedan,2017,86000,1298000,8891
10120,Mercedes-Benz,B-Class,2015,63000,728000,8891
10121,Audi,A6,2012,110000,598000,8891
10122,Honda,CR-V,2006,138000,198000,8891
10123,Lexus,IS,2006,135000,278000,8891
10124,Lexus,IS,2000,150000,128000,8891
10125,Hyundai,Elantra,2017,38000,428000,8891
10126,Volkswagen,T6 Caravelle,2016,60000,768000,8891
10127,Ford,Focus,2014,40000,170000,8891
10128,Mercedes-Benz,C-Class Sedan,2014,72000,598000,8891
10129,Lexus,CT,2011,110000,338000,8891
10130,Mercedes-Benz,CLA,2014,74000,988000,8891
10131,Infiniti,FX35,2009,110000,408000,8891
10132,Toyota,Wish,2005,210000,138000,8891
10133,Toyota,Camry,2016,200000,488000,8891
10134,Nissan,March,2012,118000,238000,8891
10135,Mazda,3,2007,180000,158000,8891
10136,Honda,Odyssey,2015,99000,988000,8891
10137,Mitsubishi,Pajero,2004,140000,188000,8891
10138,CMC,Veryca,2016,168000,288000,8891
10139,Mercedes-Benz,C-Class Estate,2013,130000,668000,8891
10140,Hyundai,Elantra,2017,43000,398000,8891
10141,Mercedes-Benz,C-Class Sedan,2019,16000,1880000,8891
10142,BMW,6-Series Gran Coupe,2013,56000,1398000,8891
10143,Luxgen,U6 Turbo ECO Hyper,2015,128000,338000,8891
10144,Porsche,Cayenne,2011,111000,1098000,8891
10145,Toyota,Wish,2013,150000,168000,8891
10146,Nissan,Juke,2015,48000,458000,8891
10147,Mercedes-Benz,E-Class Sedan,2004,66000,289000,8891
10148,Ford,Kuga,2015,100000,518000,8891
10149,Mitsubishi,Colt Plus,2018,49000,358000,8891
10150,BMW,3-Series Sedan,2011,84000,478000,8891
10151,Toyota,Camry,2011,139000,368000,8891
10152,Mazda,3,2006,104000,158000,8891
10153,Infiniti,EX35,2011,125000,318000,8891
10154,Maserati,Ghibli S,2016,93000,1758000,8891
10155,Luxgen,U6 Turbo ECO Hyper,2014,48000,368000,8891
10156,BMW,5-Series Sedan,2014,117000,886000,8891
10157,Mercedes-Benz,GLC Coupe,2016,49000,1890000,8891
10158,BMW,5-Series Sedan,2017,130000,1318000,8891
10159,Mercedes-Benz,C-Class Sedan,2017,60000,1298000,8891
10160,Nissan,X-Trail,2016,110000,498000,8891
10161,BMW,5-Series GT,2013,140000,968000,8891
10162,Subaru,Legacy Wagon,2010,173000,498000,8891
10163,Toyota,RAV4,2016,74000,688000,8891
10164,Toyota,Sienna,2011,80000,578000,8891
10165,Audi,Q5,2017,45000,1388000,8891
10166,CMC,Veryca,2015,160000,268000,8891
10167,Porsche,Cayenne,2018,30000,2790000,8891
10168,Mercedes-Benz,GLA,2015,108000,988000,8891
10169,BMW,3-Series Sedan,2020,2000,0,8891
10170,Mercedes-Benz,E-Class Sedan,2006,215000,0,8891
10171,Toyota,Hiace,2005,200000,0,8891
10172,Mercedes-Benz,CLA Shooting Brake,2017,23000,1288000,8891
10173,Toyota,Previa,2002,134000,268000,8891
10174,Honda,Civic,2014,69000,488000,8891
10175,Nissan,Teana,2006,128000,128000,8891
10176,Toyota,Camry,2004,185000,138000,8891
10177,Mercedes-Benz,CLA Shooting Brake,2016,49000,1168000,8891
10178,Ford,Kuga,2017,87000,689000,8891
10179,Toyota,RAV4,2011,198000,338000,8891
10180,Nissan,Sentra,2018,38000,498000,8891
10181,Toyota,Alphard,2013,180000,788000,8891
10182,BMW,X5,2019,16000,2880000,8891
10183,Luxgen,U7 Turbo,2011,157000,208000,8891
10184,Porsche,Cayenne,2012,60000,1188000,8891
10185,Nissan,Livina,2017,46000,378000,8891
10186,Toyota,Corolla Altis,2012,145000,338000,8891
10187,BMW,3-Series Sedan,2016,86000,818000,8891
10188,Mazda,CX-5,2014,140000,528000,8891
10189,Volkswagen,Pointer,2005,150000,138000,8891
10190,Honda,Fit,2009,80000,230000,8891
10191,Luxgen,U6 Turbo,2014,74000,248000,8891
10192,Toyota,Previa,2006,300000,488000,8891
10193,Subaru,Legacy Sedan,2017,121000,618000,8891
10194,Ford,Focus,2011,80000,258000,8891
10195,Nissan,Livina,2016,130000,325000,8891
10196,Toyota,Corolla Altis,2009,220000,218000,8891
10197,Mini,Countryman,2017,25000,1098000,8891
10198,Luxgen,U6 Turbo,2014,175000,398000,8891
10199,Toyota,C-HR,2018,37000,768000,8891
10200,Mercedes-Benz,GLC,2016,70000,1400000,8891
10201,Mazda,3,2013,113000,358000,8891
10202,Nissan,Livina,2018,64000,408000,8891
10203,Mazda,3,2010,100000,179000,8891
10204,Honda,Fit,2015,108000,398000,8891
10205,Nissan,Livina,2013,50000,295000,8891
10206,Audi,A1 Sportback,2016,40000,618000,8891
10207,Infiniti,Q50,2017,20000,880000,8891
10208,BMW,X1,2017,60000,1128000,8891
10209,Volkswagen,Golf GTI,2011,81000,588000,8891
10210,Mercedes-Benz,CLA,2014,80000,900000,8891
10211,Mercedes-Benz,C-Class Estate,2017,30000,1698000,8891
10212,Mercedes-Benz,C-Class Estate,2018,40000,2588000,8891
10213,Volkswagen,T5 Multivan,2014,60000,1080000,8891
10214,Toyota,Yaris,2019,33000,378000,8891
10215,Suzuki,Alto,2011,107000,198000,8891
10216,Mercedes-Benz,C-Class Sedan,2011,80000,598000,8891
10217,Toyota,Yaris,2012,170000,258000,8891
10218,Suzuki,Grand Vitara,2010,150000,300000,8891
10219,Ford,Kuga,2017,70000,638000,8891
10220,Mitsubishi,Lancer Fortis,2012,93000,213000,8891
10221,Suzuki,Liana,2006,100000,80000,8891
10222,Volvo,XC60,2010,90000,338000,8891
10223,Mercedes-Benz,GLA,2015,56000,1120000,8891
10224,Mitsubishi,Lancer Fortis,2014,105000,398000,8891
10225,Nissan,Tiida,2017,40000,390000,8891
10226,Mercedes-Benz,C-Class Sedan,2013,90000,768000,8891
10227,Volkswagen,Golf,2014,80000,470000,8891
10228,Nissan,Teana,2016,80000,358000,8891
10229,Mercedes-Benz,C-Class Sedan,2017,30000,1398000,8891
10230,Mitsubishi,Zinger,2018,20000,338000,8891
10231,Mercedes-Benz,E-Class Estate,2017,90000,2880000,8891
10232,Mercedes-Benz,C-Class Sedan,2010,85000,468000,8891
10233,Toyota,RAV4,2013,75000,498000,8891
10234,BMW,5-Series Sedan,2014,88000,868000,8891
10235,Toyota,Corolla Altis,2010,170000,258000,8891
10236,Mazda,3,2018,39000,538000,8891
10237,Honda,CR-V,2004,187000,98000,8891
10238,Mitsubishi,Lancer Fortis,2010,150000,188000,8891
10239,Toyota,RAV4,2011,90000,338000,8891
10240,Toyota,Previa,2004,300000,278000,8891
10241,Skoda,Yeti,2015,60000,420000,8891
10242,Subaru,Legacy Wagon,2011,100000,500000,8891
10243,BMW,X1,2010,80000,550000,8891
10244,BMW,X3,2015,130000,898000,8891
10245,Suzuki,Jimny,2021,5,888000,8891
10246,Mitsubishi,Lancer Fortis,2009,130000,158000,8891
10247,Lexus,LS,2018,107000,1688000,8891
10248,Mercedes-Benz,C-Class Coupe,2016,70000,1480000,8891
10249,Lexus,RX,2017,60000,0,8891
10250,Luxgen,U5,2018,53000,458000,8891
10251,Mercedes-Benz,CLA,2014,74000,1060000,8891
10252,Ford,Kuga,2017,16000,575000,8891
10253,Honda,Fit,2009,150000,200000,8891
10254,CMC,Veryca,2014,90000,0,8891
10255,BMW,X5,2020,3000,0,8891
10256,Daihatsu,Terios,2006,210000,208000,8891
10257,Suzuki,Vitara,2017,40000,658000,8891
10258,Toyota,Land Cruiser Prado,2020,10000,2580000,8891
10259,Mercedes-Benz,S-Class Sedan,2010,130000,0,8891
10260,Porsche,981 CaymanS,2013,80000,0,8891
10261,BMW,8-Series Coupe,2019,20000,0,8891
10262,Volkswagen,Golf GTI,2014,60000,838000,8891
10263,Chevrolet,Corvette,2014,10000,0,8891
10264,Audi,Q3,2020,7000,1768000,8891
10265,Honda,Civic,2009,220000,258000,8891
10266,Luxgen,U7 Turbo,2010,200000,138000,8891
10267,Toyota,Camry,2016,38000,490000,8891
10268,Mitsubishi,Lancer Fortis,2015,170000,298000,8891
10269,Mercedes-Benz,C-Class Estate,2017,72000,1658000,8891
10270,Volkswagen,Caddy,2016,55000,488000,8891
10271,Mercedes-Benz,GLC Coupe,2019,20000,2550000,8891
10272,Suzuki,Swift,2018,32000,488000,8891
10273,Mazda,3,2019,33000,828000,8891
10274,Mercedes-Benz,C-Class Sedan,2007,190000,439000,8891
10275,Luxgen,S3,2016,111000,298000,8891
10276,Hyundai,Ix35,2011,130000,228000,8891
10277,Mazda,3,2012,110000,258000,8891
10278,Volvo,V40,2014,120000,500000,8891
10279,Volvo,V40,2013,130000,490000,8891
10280,Mercedes-Benz,E-Class Sedan,2014,80000,990000,8891
10281,Nissan,Tiida,2013,80000,388000,8891
10282,Toyota,Corolla Altis,2014,108000,348000,8891
10283,Mazda,3,2017,26000,688000,8891
10284,Skoda,Fabia,2012,80000,168000,8891
10285,Toyota,86,2012,58000,468000,8891
10286,Mitsubishi,Lancer,2017,50000,315000,8891
10287,Mitsubishi,Colt Plus,2010,168000,148000,8891
10288,Luxgen,U7 Turbo,2013,60000,288000,8891
10289,Lexus,RX,2011,80000,428000,8891
10290,Toyota,Yaris,2011,190000,248000,8891
10291,BMW,2-Series Active Tourer,2014,84000,688000,8891
10292,Suzuki,Solio,2003,200000,118000,8891
10293,Toyota,Corolla Altis,2007,130000,188000,8891
10294,Lexus,ES,2003,200000,138000,8891
10295,Nissan,Rogue,2010,130000,160000,8891
10296,Subaru,XV,2014,52000,509000,8891
10297,Mercedes-Benz,GLE Coupe,2016,40000,2388000,8891
10298,Mazda,3,2011,90000,100000,8891
10299,Ford,Focus,2013,100000,198000,8891
10300,Mercedes-Benz,C-Class Estate,1995,200000,88000,8891
10301,BMW,X7,2020,3000,4280000,8891
10302,Mini,Cooper,2016,47000,698000,8891
10303,Mercedes-Benz,GLC,2016,51000,1188000,8891
10304,Volkswagen,T5 Caravelle,2015,100000,698000,8891
10305,Mercedes-Benz,E-Class Sedan,2017,79000,1650000,8891
10306,Lexus,ES,2017,20000,1098000,8891
10307,Toyota,Sienta,2018,30000,488000,8891
10308,BMW,Z4,2011,80000,780000,8891
10309,Mercedes-Benz,E-Class Sedan,2009,120000,680000,8891
10310,Toyota,Vios,2016,95000,280000,8891
10311,Mazda,3,2014,85000,488000,8891
10312,Mazda,3,2012,136000,298000,8891
10313,Honda,CR-V,2017,40000,578000,8891
10314,Honda,City,2016,100000,308000,8891
10315,Toyota,86,2016,50000,800000,8891
10316,BMW,X2,2018,26000,1478000,8891
10317,Mazda,3,2014,110000,280000,8891
10318,Mercedes-Benz,C-Class Sedan,2019,26000,1680000,8891
10319,Mercedes-Benz,S-Class Sedan,2006,246000,399000,8891
10320,Mercedes-Benz,C-Class Coupe,2016,80000,2030000,8891
10321,BMW,1-Series Hatchback,2017,53000,989000,8891
