,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_fuel,car_gear,car_driveMode,source
100,BMW,1 SERIES,2014,0,638000,白,1500,汽 油,自 排,2,U-car
101,MERCEDES-BENZ,GLC-CLASS,2017,4500,1650000,黑,2000,汽 油,手 自 排,2,U-car
103,BMW,5 SERIES,2017,51484,1780000,白,2000,汽 油,手 自 排,2,U-car
104,PORSCHE,CAYMAN,2006,136716,899000,其他,3400,汽 油,手 自 排,2,U-car
105,TOYOTA,ALTIS,2018,73847,468000,銀,1800,汽 油,手 自 排,2,U-car
107,BMW,7 SERIES,2017,99800,2280000,黑,3000,汽 油,手 自 排,2,U-car
108,SUZUKI,ESCUDO,1997,0,98000,藍,1600,汽 油,手 排,2,U-car
110,BMW,1 SERIES,2020,14000,1368000,黑,1500,汽 油,自 排,2,U-car
112,TOYOTA,SIENNA,2004,110000,350000,藍,3300,汽 油,自 排,2,U-car
114,TOYOTA,ALTIS,2016,45718,518000,白,1800,汽 油,手 自 排,2,U-car
115,TOYOTA,ALTIS,2018,59371,488000,其他,1800,汽 油,手 自 排,2,U-car
116,LEXUS,NX SERIES,2018,6000,1698000,其他,2000,油電,手 自 排,2,U-car
117,PORSCHE,CAYENNE,2018,31872,2690000,藍,3000,汽 油,手 自 排,2,U-car
118,PORSCHE,PANAMERA,2018,19000,4870000,白,3000,汽 油,自 手 排,2,U-car
119,TOYOTA,SIENNA,2007,90000,488000,藍,3500,汽 油,手 自 排,2,U-car
120,VOLKSWAGEN,GOLF,2015,0,808000,白,2000,汽 油,自 排,2,U-car
122,BMW,3 SERIES,2008,0,498000,黑,1600,汽 油,自 排,2,U-car
123,PORSCHE,991,2014,37000,5180000,藍,3800,汽 油,自 手 排,2,U-car
124,TOYOTA,PREVIA,2006,200000,458000,黑,2400,汽 油,手 自 排,2,U-car
125,BMW,X4 SERIES,2016,65000,1298000,銀,2000,汽 油,手 自 排,2,U-car
128,LEXUS,IS SERIES,2017,50711,1280000,白,2000,汽 油,手 自 排,2,U-car
129,FORD,FOCUS,2013,52940,338000,鐵灰,2000,汽 油,手 自 排,2,U-car
130,LEXUS,LS SERIES,2013,140000,598000,黑,4600,汽 油,手 自 排,2,U-car
131,TOYOTA,ALTIS,2011,92500,288000,銀,1800,汽 油,手 自 排,2,U-car
132,VOLKSWAGEN,TIGUAN,2018,66000,838000,藍,1400,汽 油,自 手 排,2,U-car
133,MAZDA,3,2010,90000,288000,白,2000,汽 油,手 自 排,2,U-car
135,LEXUS,GS SERIES,2007,224000,309000,銀,3500,汽 油,手 自 排,2,U-car
136,TOYOTA,RAV-4,2008,157737,398000,銀,2400,汽 油,手 自 排,2,U-car
137,FORD,FOCUS,2015,114764,428000,白,2000,汽 油,自 手 排,2,U-car
138,MITSUBISHI,ZINGER,2017,7348,355000,銀,2400,汽 油,自 排,2,U-car
139,TOYOTA,WISH,2014,134000,438000,銀,2000,汽 油,手 自 排,2,U-car
140,MERCEDES-BENZ,C-CLASS,2018,27958,1458000,白,1600,汽 油,手 自 排,2,U-car
141,MERCEDES-BENZ,GLA-CLASS,2015,72060,1088000,白,2000,汽 油,手 自 排,2,U-car
142,MERCEDES-BENZ,S-CLASS,2016,59319,2488000,黑,5500,汽 油,手 自 排,2,U-car
143,BMW,X5 SERIES,2008,164095,438000,其他,3000,汽 油,手 自 排,2,U-car
144,MERCEDES-BENZ,E-CLASS,2017,33250,1798000,黑,2000,汽 油,手 自 排,2,U-car
145,LEXUS,RX SERIES,2012,70000,798000,黑,3500,油電,手 自 排,2,U-car
146,MERCEDES-BENZ,E-CLASS,2012,125177,848000,白,3500,汽 油,手 自 排,2,U-car
147,MERCEDES-BENZ,CLA-CLASS,2016,67522,1388000,白,2000,汽 油,自 手 排,2,U-car
148,MERCEDES-BENZ,CLA-CLASS,2018,16963,1558000,白,2000,汽 油,手 自 排,2,U-car
149,JAGUAR,XJ-6,1997,57629,328000,其他,3200,汽 油,自 排,2,U-car
150,MAZDA,6,2014,55749,499000,白,2000,汽 油,手 自 排,2,U-car
151,HYUNDAI,MATRIX,2009,177296,188000,白,1600,汽 油,自 排,2,U-car
154,MERCEDES-BENZ,E-CLASS,2005,110384,188000,黑,3500,汽 油,手 自 排,2,U-car
155,MERCEDES-BENZ,GLC-CLASS,2016,28022,1798000,白,2000,汽 油,手 自 排,2,U-car
156,MERCEDES-BENZ,GLC-CLASS,2017,60830,1988000,其他,2000,汽 油,手 自 排,2,U-car
157,SUBARU,FORESTER,2016,132059,698000,黑,2000,汽 油,自 排,2,U-car
158,VOLKSWAGEN,TIGUAN,2013,55468,468000,銀,1400,汽 油,自 手 排,2,U-car
160,NISSAN,X-TRAIL,2018,24088,798000,白,2500,汽 油,自 排,2,U-car
161,MITSUBISHI,ZINGER,2017,74292,390000,鐵灰,2400,汽 油,自 排,2,U-car
162,VOLKSWAGEN,TIGUAN,2019,24000,988000,藍,1400,汽 油,自 手 排,2,U-car
163,FORD,KUGA,2020,19000,838000,黑,1500,汽 油,手 自 排,2,U-car
164,MITSUBISHI,ECLIPSE CROSS,2019,18000,798000,白,1500,汽 油,自 排,2,U-car
165,MERCEDES-BENZ,GLB-CLASS,2021,6000,1798000,白,1300,汽 油,手 自 排,2,U-car
166,PORSCHE,CAYENNE,2013,120000,1180000,黑,3600,汽 油,手 自 排,2,U-car
167,MAZDA,6,2009,120000,288000,黑,2000,汽 油,手 自 排,2,U-car
168,AUDI,A6,2012,82696,598000,白,2000,汽 油,手 自 排,2,U-car
169,VOLKSWAGEN,GOLF,2017,50000,1088000,紅,2000,汽 油,自 排,2,U-car
170,NISSAN,TIIDA,2012,164468,258000,白,1800,汽 油,自 排,2,U-car
172,TOYOTA,RAV-4,2013,103653,588000,銀,2500,汽 油,手 自 排,2,U-car
173,BMW,2 SERIES,2020,4963,2380000,白,2000,汽 油,手 自 排,2,U-car
174,BMW,3 SERIES,2014,124916,1058000,白,2000,汽 油,手 自 排,2,U-car
175,MERCEDES-BENZ,A-CLASS,2018,34626,1598000,白,2000,汽 油,自 手 排,2,U-car
176,BMW,3 SERIES,2019,21684,1958000,黑,2000,汽 油,手 自 排,2,U-car
177,VOLKSWAGEN,TIGUAN,2020,3000,1088000,白,1400,汽 油,自 手 排,2,U-car
178,MERCEDES-BENZ,E-CLASS,2017,54035,1598000,白,2000,汽 油,手 自 排,2,U-car
179,LEXUS,ES SERIES,2018,20000,1288000,其他,2000,汽 油,手 自 排,2,U-car
180,MAZDA,CX-3,2017,91354,580000,白,1500,柴 油,手 自 排,2,U-car
182,LEXUS,RX SERIES,2018,60000,1788000,白,2000,汽 油,手 自 排,2,U-car
184,PORSCHE,PANAMERA,2011,70000,1388000,白,3000,柴 油,手 自 排,2,U-car
187,FORD,FOCUS,2019,0,798000,銀,1500,汽 油,自 排,2,U-car
188,PORSCHE,MACAN,2018,70000,1988000,白,2000,汽 油,手 自 排,2,U-car
189,BMW,5 SERIES,2015,105914,880000,黑,2000,柴 油,自 手 排,2,U-car
190,NISSAN,TIIDA,2017,0,468000,白,1600,汽 油,自 排,2,U-car
191,LEXUS,CT HYBRID,2014,120000,698000,白,1800,油電,自 排,2,U-car
192,FORD,FOCUS,2016,80192,458000,白,1500,汽 油,手 自 排,2,U-car
193,NISSAN,LIVINA,2014,0,338000,白,1600,汽 油,自 排,2,U-car
194,LEXUS,ES SERIES,2016,0,998000,黑,2500,油電,自 排,2,U-car
195,BMW,5 SERIES,2012,99108,838000,黑,3000,汽 油,手 自 排,2,U-car
196,MERCEDES-BENZ,S-CLASS,2013,68000,1288000,銀,3500,汽 油,手 自 排,2,U-car
197,SMART,FORTWO,2013,73072,338000,白,1000,汽 油,自 手 排,2,U-car
198,MERCEDES-BENZ,C-CLASS,2015,0,1188000,白,2000,汽 油,自 排,2,U-car
199,LAND ROVER,ROVER RANGE ROVER,2008,121000,838000,其他,4200,汽 油,手 自 排,4,U-car
200,TOYOTA,ALPHARD,2016,31022,1898000,黑,3500,汽 油,手 自 排,2,U-car
202,MERCEDES-BENZ,C-CLASS,2015,60000,998000,銀,2000,汽 油,自 手 排,2,U-car
203,AUDI,RS6,2016,60088,4080000,黑,4000,汽 油,自 排,2,U-car
205,ŠKODA,YETI,2012,0,328000,鐵灰,1200,汽 油,自 排,2,U-car
206,MITSUBISHI,VERYCA,2007,120000,258000,藍,1200,汽 油,手 排,2,U-car
207,MERCEDES-BENZ,C-CLASS,2015,53000,1198000,白,2000,汽 油,自 手 排,2,U-car
208,BMW,5 SERIES,2016,60000,1358000,白,2000,汽 油,自 手 排,2,U-car
210,BMW,7 SERIES,2011,130000,728000,其他,3000,汽 油,自 手 排,2,U-car
211,TOYOTA,VIOS,2018,64064,328000,銀,1500,汽 油,手 自 排,2,U-car
212,FORD,FOCUS,2016,143692,429000,白,1500,汽 油,手 自 排,2,U-car
213,LUXGEN,7 MPV,2013,71665,338000,銀,2200,汽 油,手 自 排,2,U-car
214,MERCEDES-BENZ,CLS-CLASS,2011,94000,888000,銀,3500,汽 油,手 自 排,2,U-car
215,MERCEDES-BENZ,GLC-CLASS,2017,55000,2280000,黑,2000,汽 油,手 自 排,2,U-car
216,BMW,X6 SERIES,2014,0,1188000,其他,2000,汽 油,自 排,2,U-car
217,TOYOTA,ALTIS,2012,107734,328000,其他,1800,汽 油,手 自 排,2,U-car
219,BMW,X4 SERIES,2017,19442,1458000,白,2000,汽 油,手 自 排,2,U-car
220,INFINITI,QX,2019,20000,1598000,藍,2000,汽 油,自 排,2,U-car
221,VOLKSWAGEN,GOLF,2011,0,338000,其他,1400,汽 油,自 排,2,U-car
222,MERCEDES-BENZ,CLA-CLASS,2017,26695,1588000,銀,2000,汽 油,手 自 排,2,U-car
223,BMW,3 SERIES,2011,56000,498000,鐵灰,2000,汽 油,手 自 排,2,U-car
225,MITSUBISHI,VERYCA,2006,0,138000,銀,1200,汽 油,自 排,2,U-car
226,BMW,4 SERIES GRAN COUPE,2016,61000,1230000,黑,2000,汽 油,自 手 排,2,U-car
227,MITSUBISHI,OUTLANDER,2017,101986,488000,銀,2400,汽 油,自 排,2,U-car
229,BMW,5 SERIES,2015,59927,1250000,白,3000,汽 油,手 自 排,2,U-car
230,HONDA,CRV,2014,100000,538000,白,2400,汽 油,手 自 排,2,U-car
231,MAZDA,6,2016,82265,658000,藍,2200,柴 油,手 自 排,2,U-car
232,VOLKSWAGEN,TIGUAN,2017,50000,868000,白,1400,汽 油,自 手 排,2,U-car
233,TOYOTA,ALPHARD,2015,110000,1650000,白,3500,汽 油,手 自 排,2,U-car
234,TOYOTA,ALTIS,2021,4,658000,白,1800,汽 油,手 自 排,2,U-car
235,TOYOTA,YARIS,2009,0,268000,白,1500,汽 油,自 排,2,U-car
236,NISSAN,TIIDA,2010,171988,238000,銀,1800,汽 油,自 排,2,U-car
237,BMW,4 SERIES GRAN COUPE,2016,48000,1348000,鐵灰,2000,汽 油,自 手 排,2,U-car
238,MAZDA,3,2010,90000,290000,白,2000,汽 油,手 自 排,2,U-car
239,MITSUBISHI,LANCER,2014,0,318000,鐵灰,1800,汽 油,手 自 排,2,U-car
240,MERCEDES-BENZ,A-CLASS,2017,0,1598000,其他,2000,汽 油,自 排,2,U-car
241,MITSUBISHI,LANCER,2012,0,318000,白,1800,汽 油,手 自 排,2,U-car
242,HYUNDAI,STAREX,2011,258272,298000,白,2500,柴 油,手 自 排,2,U-car
243,MERCEDES-BENZ,C-CLASS,2016,37000,1338000,黑,2000,汽 油,自 手 排,2,U-car
244,TOYOTA,PREVIA,2016,71000,1098000,其他,2400,汽 油,自 手 排,2,U-car
245,MERCEDES-BENZ,C-CLASS,2016,0,1188000,白,2000,汽 油,自 排,2,U-car
246,AUDI,A4,2017,0,868000,其他,2000,汽 油,自 排,2,U-car
248,LEXUS,IS SERIES,2008,181798,398000,鐵灰,2500,汽 油,手 自 排,2,U-car
249,SUBARU,FORESTER,2018,33827,718000,白,2000,汽 油,手 自 排,2,U-car
250,LEXUS,RX SERIES,2012,197306,690000,黑,3500,油電,自 排,2,U-car
251,HONDA,CRV,2019,0,868000,白,1500,汽 油,自 排,2,U-car
252,SUZUKI,JIMNY,2021,0,898000,其他,1500,汽 油,自 排,2,U-car
253,BMW,6 SERIES COUPE,2011,58000,1058000,銀,4400,汽 油,手 自 排,2,U-car
256,BMW,4 SERIES GRAN COUPE,2017,33000,1658000,白,2000,汽 油,手 自 排,2,U-car
257,HYUNDAI,I30,2011,95000,188000,白,1600,汽 油,自 排,2,U-car
258,LUXGEN,U5,2019,9000,478000,白,1600,汽 油,手 自 排,2,U-car
259,MITSUBISHI,PAJERO,1998,0,238000,藍,3000,汽 油,自 排,2,U-car
260,VOLVO,V50,2006,0,268000,銀,2400,汽 油,手 自 排,2,U-car
261,MERCEDES-BENZ,CLA-CLASS,2020,7555,2498000,白,2000,汽 油,手 自 排,2,U-car
262,MERCEDES-BENZ,GLC-CLASS,2017,0,1628000,其他,2000,汽 油,自 手 排,2,U-car
263,MERCEDES-BENZ,CLA-CLASS,2016,70000,1198000,白,2000,汽 油,手 自 排,2,U-car
265,MAZDA,CX-5,2016,0,598000,黑,2000,汽 油,自 排,2,U-car
266,MERCEDES-BENZ,C-CLASS,2015,0,1188000,白,2000,汽 油,自 排,2,U-car
267,BMW,5 SERIES,2016,48657,1260000,藍,2000,汽 油,手 自 排,2,U-car
269,BMW,X5 SERIES,2019,58000,3280000,黑,3000,汽 油,手 自 排,2,U-car
270,MERCEDES-BENZ,CLA-CLASS,2016,65992,1898000,銀,2000,汽 油,自 手 排,2,U-car
271,FORD,ESCAPE,2004,0,138000,棕,2300,汽 油,自 排,2,U-car
272,TOYOTA,CAMRY,2011,125000,288000,黑,2400,汽 油,手 自 排,2,U-car
273,TOYOTA,YARIS,2011,0,288000,其他,1500,汽 油,自 排,2,U-car
274,MAZDA,5,2012,211960,298000,銀,2000,汽 油,手 自 排,2,U-car
275,TOYOTA,YARIS,2007,114000,188000,鐵灰,1500,汽 油,自 排,2,U-car
276,HONDA,ODYSSEY,2012,192000,699000,銀,3500,汽 油,手 自 排,2,U-car
277,AUDI,A3 SPORTBACK,2016,58000,790000,白,1400,汽 油,手 自 排,4,U-car
