,car_brand,car_model,car_year,car_mileage,car_price,source
90,BENZ,GLC-CLASS 43,2017,81975 ,2350000,UsedCar
91,BMW,M6 M6 COUPE,2006,99226 ,980000,UsedCar
92,BENTLEY,CONTINENTAL 6.0,2006,104831 ,1680000,UsedCar
93,HONDA,CRV 2.4,2014,217662 ,480000,UsedCar
94,NISSAN,TIIDA 1.8,2011,135033 ,290000,UsedCar
95,BENZ,CLA-CLASS CLA250,2015,38000 ,1180000,UsedCar
96,MINI,COOPER COUNTRYMAN 1.6,2011,75008 ,580000,UsedCar
97,TOYOTA,ALTIS 1.8,2017,36725 ,490000,UsedCar
98,HONDA,ODYSSEY 2.4,2015,131385 ,1030000,UsedCar
99,BENZ,E-CLASS ESTATE E55 KT AMG,2000,108000 ,480000,UsedCar
100,VW,BEETLE 1.6,2010,120419 ,300000,UsedCar
101,BENZ,E-CLASS 200,1985,128500 ,380000,UsedCar
102,TOYOTA,ALTIS 1.8,2017,95000 ,460000,UsedCar
103,LEXUS,IS SERIES IS300,2018,93986 ,1090000,UsedCar
104,MITSUBISHI,LANCER FORTIS 1.8,2015,56000 ,360000,UsedCar
105,FORD,RANGER 3.2,2014,102713 ,850000,UsedCar
106,MITSUBISHI,COLT PLUS IO 1.6,2012,87655 ,260000,UsedCar
107,TOYOTA,CAMRY 2.5,2015,104191 ,550000,UsedCar
108,BMW,4 SERIES COUPE 420,2016,150000 ,1150000,UsedCar
109,LUXGEN,U5 1.6L,2019,50000 ,430000,UsedCar
110,MAZDA,2 1.5,2010,117775 ,250000,UsedCar
111,MITSUBISHI,LANCER FORTIS 1.8,2011,110000 ,240000,UsedCar
112,BENZ,C-CLASS C300,2016,60000 ,1350000,UsedCar
113,BENZ,GLA-CLASS GLA250,2016,49000 ,1180000,UsedCar
114,BENZ,A-CLASS A250,2019,9929 ,1590000,UsedCar
115,BMW,1 SERIES 118,2018,47546 ,910000,UsedCar
116,VW,POLO 1.6,2014,72500 ,290000,UsedCar
117,BENZ,GLC-CLASS GLC 300,2020,7678 ,2780000,UsedCar
118,LEXUS,NX SERIES 200T,2016,22391 ,1420000,UsedCar
119,PEUGEOT,5008 2.0,2011,160000 ,390000,UsedCar
120,BENZ,GLC-CLASS GLC 250,2018,47800 ,2080000,UsedCar
121,MAZDA,3S 2.0,2007,151645 ,150000,UsedCar
122,FORD,FOCUS 2.0,2013,70000 ,360000,UsedCar
123,NISSAN,JUKE 1.6,2016,24775 ,510000,UsedCar
124,TOYOTA,ALTIS 1.8,2006,271155 ,130000,UsedCar
125,MAZDA,3 1.6,2014,100000 ,340000,UsedCar
126,LUXGEN,7 MPV 2.2,2014,51902 ,430000,UsedCar
127,NISSAN,ROGUE 2.5,2011,64354 ,250000,UsedCar
128,MITSUBISHI,VERYCA 1.2,2010,93059 ,170000,UsedCar
129,TOYOTA,ALTIS 1.8,2015,90061 ,370000,UsedCar
130,BENZ,CLA-CLASS CLA250,2015,56351 ,1090000,UsedCar
131,BENZ,GLC-CLASS GLC 300,2018,28088 ,1840000,UsedCar
132,BMW,3 SERIES 330,2017,41270 ,1330000,UsedCar
133,BENZ,GLA-CLASS GLA250,2017,35533 ,1370000,UsedCar
134,BENZ,A-CLASS A250,2019,29000 ,1630000,UsedCar
135,FORD,MONDEO 2.0,2020,31051 ,990000,UsedCar
136,NISSAN,TIIDA 1.8,2007,250000 ,150000,UsedCar
